2016-10-05 14:38:18,733 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:38:18,734 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 14:38:18,735 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:38:18,736 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 14:38:55,650 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:38:55,652 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 14:38:55,654 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:38:55,656 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 14:44:31,282 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:44:31,284 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 14:44:31,286 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:44:31,287 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 14:51:40,522 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:51:40,527 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 14:51:40,530 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
